"","tweet","date","lat","lon","isretweet","retweeted","retweetcount","favoritecount","favorited","score"
"1","Transgender patients face fear and stigma in the doctor's office https://t.co/Jqr2AkYYWC via @ReutersIndia","2016-09-27 22:34:00",NA,NA,"FALSE","FALSE","0","0","FALSE",-2
"2","'Modern Family' casts transgender child actor Jackson Millarker @CNN https://t.co/tI7YTTixAC, BAN, BAN, BAN, its misleading Lil children.","2016-09-27 22:39:05",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"3","RT @emilytgreen: SF will no longer enter into contracts with companies based in states that bar civil-rights protections for gay and transg‚Ä¶","2016-09-27 22:39:04",NA,NA,"TRUE","FALSE","4","0","FALSE",0
"4","I feel bad. 9 mos ago I told this dude, 'Go f-k yourself!' I didn't mean literally.... https://t.co/u3cLF3zbZX","2016-09-27 22:15:51",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"5","RT @emilytgreen: SF will no longer enter into contracts with companies based in states that bar civil-rights protections for gay and transg‚Ä¶","2016-09-27 22:39:04",NA,NA,"TRUE","FALSE","4","0","FALSE",0
"6","Suicidal transgender boy faced discrimination in hospital: suit","2016-09-27 22:25:07",NA,NA,"FALSE","FALSE","0","0","FALSE",-2
"7","Game Theory: We ran out of relevant games to talk about, so paper mario is now transgender. Fuck you.","2016-09-27 22:13:15",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"8","Transgender Child Actor Jackson Millarker to Make Debut on ‚ÄòModern Family‚Äô This Wednesday https://t.co/mV4XVxc8Ik","2016-09-27 22:42:46",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"9","RT @TRANZGENDR: Why We Can't Afford the Protest Vote

https://t.co/wtIGZoeHYJ

#transgender #lgbt #lgbtq #girlslikeus #imwithher https://t.‚Ä¶","2016-09-27 22:37:50",NA,NA,"TRUE","FALSE","4","0","FALSE",0
"10","RT @NOH8Campaign: ‚ÄúI hope you understand what being trans means. It doesn‚Äôt make me any less or any more. It makes me me."" https://t.co/rAH‚Ä¶","2016-09-27 22:32:28",NA,NA,"TRUE","FALSE","324","0","FALSE",0
"11","Transgender child actor to guest star on a Modern Familya https://t.co/tRpTpSQZzm","2016-09-27 22:16:07",NA,NA,"FALSE","FALSE","0","1","FALSE",1
"12","'Modern Family' is breaking ground again by hiring a transgender child actor https://t.co/xxQIlOPrfg","2016-09-27 22:36:06",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"13","A Black lives matter sign was removed &amp; a Black transgender student was bullied a sorority  file https://t.co/ON1YPX2MjN","2016-09-27 22:19:46",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"14","I feel bad. 9 mos ago I told this dude, 'Go f-k yourself!' I didn't mean literally.... https://t.co/u3cLF3zbZX","2016-09-27 22:15:51",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"15","today i heard someone say that they're transgender cause they wanted to change their name that makes no sense whatsoever wtf","2016-09-27 21:31:12",NA,NA,"FALSE","FALSE","0","1","FALSE",0
"16","""Modern Family"" Casts Its First Openly Transgender Child Actor https://t.co/Mh2HVkffOc via @NewNowNext","2016-09-27 19:27:59",NA,NA,"FALSE","FALSE","0","0","FALSE",2
"17","A Black lives matter sign was removed &amp; a Black transgender student was bullied a sorority  file https://t.co/ON1YPX2MjN","2016-09-27 22:19:46",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"18","RT @Woodlvndss: @MikeElChingon let me make it easy for you. A transgender couple had a baby Ì†æÌ¥ó you're welcome.","2016-09-27 22:43:03",NA,NA,"TRUE","FALSE","22","0","FALSE",0
"19","RT @Woodlvndss: @MikeElChingon let me make it easy for you. A transgender couple had a baby Ì†æÌ¥ó you're welcome.","2016-09-27 22:43:03",NA,NA,"TRUE","FALSE","22","0","FALSE",0
"20","@CNN I'll bet it comes out that this kid and his parents perpetrated a hoax to capitalize on the trendy transgender issue.","2016-09-27 20:36:35",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"21","thoughts on @missarkell being a transgender on twit... ‚Äî Don't you think this is so neeky. If the person has... https://t.co/Ucu3pXalSb","2016-09-27 22:29:30",NA,NA,"FALSE","FALSE","0","1","FALSE",0
"22","A Black lives matter sign was removed &amp; a Black transgender student was bullied a sorority  file https://t.co/ON1YPX2MjN","2016-09-27 22:19:46",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"23","'Modern Family' is breaking ground again by hiring a transgender child actor https://t.co/xxQIlOPrfg","2016-09-27 22:36:06",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"24","RT @katiecouric: .@ModernFam becomes the first tv show to feature a transgender child actor with 8-year-old Jackson Millarker https://t.co/‚Ä¶","2016-09-27 22:44:24",NA,NA,"TRUE","FALSE","2","0","FALSE",0
"25","Planned Parenthood Expands Services to Transgender Patients in Florida https://t.co/mQun8TEBA0","2016-09-26 18:33:27",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"26","Obama‚Äôs LGBT Agenda Suffers Loss in Case of Transgender Funeral Director https://t.co/YtyROUrdAG
 #TeaParty #tcot","2016-09-27 22:41:23",NA,NA,"FALSE","FALSE","0","0","FALSE",-2
"27","@ModernFam makes history by casting TV's first transgender child actor https://t.co/lf86t9F4zi via @huffpostqueer","2016-09-27 20:55:34",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"28","""Modern Family"" Casts Its First Openly Transgender Child Actor https://t.co/Mh2HVkffOc via @NewNowNext","2016-09-27 19:27:59",NA,NA,"FALSE","FALSE","0","0","FALSE",2
"29","OH court rules transgender student can use bathroom consistent with identity, refuses to block OCR/DOJ guidance https://t.co/w3d6Ng7Rmw","2016-09-27 21:54:56",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"30","Suicidal transgender boy faced discrimination in hospital: suit https://t.co/5Ls7X2szMB #MGWV #TFB #F4F","2016-09-27 22:25:03",NA,NA,"FALSE","FALSE","0","0","FALSE",-2
"31","#ifcelebswereinhighschool
-head of the PTA
-dresses nice
-the reason cafeteria food taste like shit
-put transgende‚Ä¶ https://t.co/6OsASljpmB","2016-09-27 21:48:44",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"32","How did I not know about this park? Thanks for suggesting it, Kati! :) #transgender #girlslikeus‚Ä¶ https://t.co/I4FxHVZXo7","2016-09-27 22:29:13","39.96043","-82.98707","FALSE","FALSE","0","0","FALSE",0
"33","""Unlimited Courage"" -It was a diverse process. They were looking for MY story not filling a role for a transgender‚Ä¶ https://t.co/ZAantovsd4","2016-09-27 22:31:57",NA,NA,"FALSE","FALSE","0","0","FALSE",2
"34","When the copay for wisdom tooth surgery is $1,700 and the copay for transgender top surgery is $75... Why?","2016-09-27 22:38:47",NA,NA,"FALSE","FALSE","0","0","FALSE",2
"35","RT @emilytgreen: SF will no longer enter into contracts with companies based in states that bar civil-rights protections for gay and transg‚Ä¶","2016-09-27 22:34:41",NA,NA,"TRUE","FALSE","4","0","FALSE",0
"36","How the hell do you have a transgender child? https://t.co/nSTNuj68wb","2016-09-27 21:00:22",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"37","RT @emilytgreen: SF will no longer enter into contracts with companies based in states that bar civil-rights protections for gay and transg‚Ä¶","2016-09-27 22:34:41",NA,NA,"TRUE","FALSE","4","0","FALSE",0
"38","RT @1025TheBone: ""Modern Family"" casting first transgender.
https://t.co/9Xk732CaKe","2016-09-27 22:23:42",NA,NA,"TRUE","FALSE","2","0","FALSE",1
"39","RT @austin360: 8-year-old Jackson Millarker on 'Modern Family' is the first openly transgender child to be on television https://t.co/jzdPd‚Ä¶","2016-09-27 22:12:54",NA,NA,"TRUE","FALSE","1","0","FALSE",2
"40","'Modern Family' casts transgender child actor Jackson Millarker @CNN https://t.co/tI7YTTixAC, BAN, BAN, BAN, its misleading Lil children.","2016-09-27 22:39:05",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"41","This is so important #transgender #FTM https://t.co/rpwyb8eIVJ","2016-09-27 22:37:30",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"42","RT @Variety: Whoopi Goldberg, is producing a show about transgender models, shares her thoughts on transgender casting. https://t.co/w7Cnoa‚Ä¶","2016-09-27 22:30:52",NA,NA,"TRUE","FALSE","29","0","FALSE",1
"43","RT @TSCadenceKline: Chilling at home. #Transgender #transwomen #TS #TG #Shemale #m2f #mtf #intersex #transpride #lbgt #tgirl #ladyboy http:‚Ä¶","2016-09-27 22:08:13",NA,NA,"TRUE","FALSE","1","0","FALSE",-1
"44","12-Year-Old Transgender Student Delivers Powerful Speech to School Board https://t.co/Kji6JeH8Yg https://t.co/BHJ3TdSqjy","2016-09-27 22:34:23",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"45","RT @ProphetPX: .@JanetMefferd RE: your show on #TRANSGENDER today: 
Homosexuality, Gender Confusion, and the Spirit of Baphomet https://t.c‚Ä¶","2016-09-27 21:54:46",NA,NA,"TRUE","FALSE","1","0","FALSE",-1
"46","How the hell do you have a transgender child? https://t.co/nSTNuj68wb","2016-09-27 21:00:22",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"47","Let's hope MI legistators keep this in mind!  Texas Association of Business: 'Bathroom Bills' Bad for Business‚Ä¶ https://t.co/ob9ZcLxFMr","2016-09-27 20:52:22",NA,NA,"FALSE","FALSE","0","0","FALSE",-1
"48","'Modern Family' Casts TV's First Transgender Child Actor https://t.co/3u8qkvXibb","2016-09-27 15:59:08",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"49","RT @ProphetPX: .@JanetMefferd RE: your show on #TRANSGENDER today: 
Homosexuality, Gender Confusion, and the Spirit of Baphomet https://t.c‚Ä¶","2016-09-27 21:54:46",NA,NA,"TRUE","FALSE","1","0","FALSE",-1
"50","TV's first transgender child actor cast in US sitcom","2016-09-27 22:34:24",NA,NA,"FALSE","FALSE","0","1","FALSE",0
"51","Supreme Court stay in transgender teen‚Äôs case allows school to enforce restroom restriction https://t.co/hwwK6THRKl

#attorney #law","2016-09-27 22:34:44",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"52","RT @TruthSeeker2115: Transgender movement by zionist lie! 8yr old Trans actor. Only 00.03% Identify by Trans #MKultra #USA is shameful http‚Ä¶","2016-09-27 19:50:21",NA,NA,"TRUE","FALSE","1","0","FALSE",-2
"53","@admiraljello @CeruleanSnidget @ryorin yeah I've had a couple transgender friends be asked that (by well meaning people),","2016-09-27 22:15:18",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"54","10 Rules You Should Follow Before Dating A Transgender Woman https://t.co/TzMbLqReHK","2016-09-27 22:16:39",NA,NA,"FALSE","FALSE","0","0","FALSE",0
"55","12-Year-Old Transgender Student Delivers Powerful Speech to School Board https://t.co/Kji6JeH8Yg https://t.co/BHJ3TdSqjy","2016-09-27 22:34:23",NA,NA,"FALSE","FALSE","0","0","FALSE",1
"56","RT @katiecouric: .@ModernFam becomes the first tv show to feature a transgender child actor with 8-year-old Jackson Millarker https://t.co/‚Ä¶","2016-09-27 22:44:10",NA,NA,"TRUE","FALSE","2","0","FALSE",0
"57","Transgender Indoctrination Forced on Military Personnel and Public Schools https://t.co/oAlRqTeMle via @ConstitutionNat","2016-09-25 19:59:18",NA,NA,"FALSE","FALSE","0","1","FALSE",-1
"58","RT @DineshDSouza: H'm, suddenly transgender bathrooms doesn't seem quite so pressing a national concern","2016-09-27 22:30:17",NA,NA,"TRUE","FALSE","469","0","FALSE",-1
"59","Ruling Of Ohio Judge Allows Transgender Student In Girls' Bathroom https://t.co/XanRna6wSS via @realDennisLynch","2016-09-27 20:36:28",NA,NA,"FALSE","FALSE","0","0","FALSE",0
